location_1,email_domain,count
"New York, New York",gmail.com,2779
"Los Angeles, California",gmail.com,2332
"San Antonio, Texas",yahoo.com,1874
"San Antonio, Texas",gmail.com,1570
"Los Angeles, California",yahoo.com,1512
"Chicago, Illinois",gmail.com,1356
"Miami, Florida",gmail.com,1265
"Houston, Texas",yahoo.com,1204
"New York, New York",hotmail.com,1182
"Miami, Florida",yahoo.com,1173
"New York, New York",yahoo.com,1162
"Houston, Texas",gmail.com,1153
"Seattle, Washington",gmail.com,1122
"Washington, District of Columbia",yahoo.com,1091
"Chicago, Illinois",yahoo.com,1090
"Washington, District of Columbia",gmail.com,1066
"Cleveland, Ohio",yahoo.com,1029
"Miami, Florida",hotmail.com,992
"Brooklyn, New York",gmail.com,950
"Atlanta, Georgia",gmail.com,832
"Los Angeles, California",hotmail.com,758
"Atlanta, Georgia",yahoo.com,752
"San Diego, California",gmail.com,710
"Dallas, Texas",gmail.com,668
"Baton Rouge, Louisiana",yahoo.com,663
"Boston, Massachusetts",gmail.com,647
"Las Vegas, Nevada",gmail.com,643
"San Francisco, California",gmail.com,634
"Dallas, Texas",yahoo.com,600
"Philadelphia, Pennsylvania",gmail.com,579
"Houston, Texas",hotmail.com,568
"Birmingham, Alabama",yahoo.com,561
"Las Vegas, Nevada",yahoo.com,546
"Austin, Texas",gmail.com,533
"Birmingham, Alabama",gmail.com,527
"Seattle, Washington",yahoo.com,521
"Cleveland, Ohio",gmail.com,509
"New York, New York",aol.com,497
"Brooklyn, New York",yahoo.com,486
"San Antonio, Texas",hotmail.com,484
"San Diego, California",yahoo.com,464
"Phoenix, Arizona",gmail.com,438
"Orlando, Florida",gmail.com,414
"Philadelphia, Pennsylvania",yahoo.com,404
"Baton Rouge, Louisiana",gmail.com,404
"Chicago, Illinois",hotmail.com,400
"Stockton, California",yahoo.com,367
"Bronx, New York",gmail.com,360
"Boise, Idaho",gmail.com,346
"Stockton, California",gmail.com,345
"Orlando, Florida",yahoo.com,344
"Phoenix, Arizona",yahoo.com,339
"Seattle, Washington",hotmail.com,337
"San Diego, California",hotmail.com,335
"Portland, Oregon",gmail.com,323
"Boston, Massachusetts",hotmail.com,321
"Austin, Texas",yahoo.com,304
"Boston, Massachusetts",yahoo.com,300
"Modesto, California",gmail.com,299
"Modesto, California",yahoo.com,294
"Fort Lauderdale, Florida",yahoo.com,288
"Salt Lake City, Utah",gmail.com,284
"Miami, Florida",aol.com,279
"Washington, District of Columbia",hotmail.com,277
"Bronx, New York",yahoo.com,276
"Dallas, Texas",hotmail.com,276
"Las Vegas, Nevada",hotmail.com,275
"San Francisco, California",yahoo.com,271
"Denver, Colorado",gmail.com,270
"Brooklyn, New York",hotmail.com,266
"Fort Lauderdale, Florida",gmail.com,266
"Orlando, Florida",hotmail.com,266
"Jersey City, New Jersey",gmail.com,265
"Atlanta, Georgia",hotmail.com,262
"Minneapolis, Minnesota",gmail.com,262
"Tampa, Florida",gmail.com,247
"Queens, New York",gmail.com,236
"Bronx, New York",hotmail.com,232
"Jersey City, New Jersey",yahoo.com,230
"Nashville, Tennessee",gmail.com,223
"Baltimore, Maryland",gmail.com,221
"Tampa, Florida",yahoo.com,219
"Charlotte, North Carolina",gmail.com,219
"Columbus, Ohio",gmail.com,214
"Sacramento, California",yahoo.com,209
"Sacramento, California",gmail.com,203
"Detroit, Michigan",yahoo.com,202
"West Palm Beach, Florida",yahoo.com,201
"Brooklyn, New York",aol.com,199
"New Orleans, Louisiana",yahoo.com,198
"Columbus, Ohio",yahoo.com,198
"Tucson, Arizona",gmail.com,197
"Boise, Idaho",yahoo.com,197
"San Antonio, Texas",aol.com,196
"San Jose, California",gmail.com,196
"Los Angeles, California",aol.com,194
"Detroit, Michigan",gmail.com,188
"West Palm Beach, Florida",gmail.com,187
"Indianapolis, Indiana",gmail.com,185
"New Orleans, Louisiana",gmail.com,185
"Philadelphia, Pennsylvania",hotmail.com,185
